;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202301;Enero de 2023;1;Andalucía;14;Córdoba;14044;Monturque;144;14;65;<5;16;47;0;114;14;<5;14
202301;Enero de 2023;1;Andalucía;14;Córdoba;14045;Moriles;222;33;90;0;16;83;0;191;0;23;8
202301;Enero de 2023;1;Andalucía;14;Córdoba;14046;Nueva Carteya;857;217;280;<5;164;195;0;826;0;6;25
202301;Enero de 2023;1;Andalucía;14;Córdoba;14047;Obejo;21;<5;<5;0;0;14;0;11;0;0;10
202301;Enero de 2023;1;Andalucía;14;Córdoba;14048;Palenciana;94;8;56;0;<5;27;0;92;<5;0;<5
202301;Enero de 2023;1;Andalucía;14;Córdoba;14049;Palma del Río;1415;443;530;9;176;248;9;1144;12;54;205
202301;Enero de 2023;1;Andalucía;14;Córdoba;14050;Pedro Abad;128;59;19;0;30;19;<5;81;28;10;9
202301;Enero de 2023;1;Andalucía;14;Córdoba;14051;Pedroche;26;<5;13;<5;0;11;0;<5;<5;6;15
202301;Enero de 2023;1;Andalucía;14;Córdoba;14052;Peñarroya-Pueblonuevo;116;28;30;<5;16;38;<5;<5;6;25;84
202301;Enero de 2023;1;Andalucía;14;Córdoba;14053;Posadas;230;33;93;<5;17;84;<5;146;6;10;68
202301;Enero de 2023;1;Andalucía;14;Córdoba;14054;Pozoblanco;494;96;201;11;45;136;5;95;105;30;264
202301;Enero de 2023;1;Andalucía;14;Córdoba;14055;Priego de Córdoba;1170;582;189;<5;225;162;9;927;19;24;200
202301;Enero de 2023;1;Andalucía;14;Córdoba;14056;Puente Genil;1689;450;624;28;205;367;15;1178;148;135;228
202301;Enero de 2023;1;Andalucía;14;Córdoba;14057;Rambla, La;526;84;243;<5;54;143;<5;470;15;<5;38
202301;Enero de 2023;1;Andalucía;14;Córdoba;14058;Rute;913;551;111;<5;199;47;<5;825;18;18;52
202301;Enero de 2023;1;Andalucía;14;Córdoba;14059;San Sebastián de los Ballesteros;40;<5;23;0;0;14;<5;25;0;9;6
